primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
Bataille d'oreillers	Bataille d'oreillers	0	1900	\N	\N	Short
Bataille de boules de neige	Bataille de boules de neige	0	1900	\N	\N	Short
Buffalo Bill's Show Parade	Buffalo Bill's Show Parade	0	1900	\N	\N	Short
Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1900	\N	\N	News,Short
Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1900	\N	\N	News,Short
Buffalo Bill's Wild West Show	Buffalo Bill's Wild West Show	0	1900	\N	\N	News,Short
Le bébé	Le bébé	0	1900	\N	\N	Short
Chez le Maréchal-Ferrant	Chez le Maréchal-Ferrant	0	1900	\N	\N	Short
Chez le photographe	Chez le photographe	0	1900	\N	1	Short
Chinese Magic	Chinese Magic	0	1900	\N	\N	Horror,Short
Chirurgie fin de siècle	Chirurgie fin de siècle	0	1900	\N	2	Comedy,Short
The Clown and the Alchemist	The Clown and the Alchemist	0	1900	\N	\N	Comedy,Fantasy,Short
La concierge	La concierge	0	1900	\N	1	Comedy,Short
Coucher d'une Parisienne	Coucher d'une Parisienne	0	1900	\N	\N	Short
Dance de l'ivresse	Dance de l'ivresse	0	1900	\N	\N	Short
Dans les coulisses	Dans les coulisses	0	1900	\N	\N	Short
Danse du papillon	Danse du papillon	0	1900	\N	\N	Documentary,Short
Danse du pas des foulards par des almées	Danse du pas des foulards par des almées	0	1900	\N	\N	Short
La danse du ventre	La danse du ventre	0	1900	\N	\N	Short
Danse du voile	Danse du voile	0	1900	\N	\N	Short
Danse serpentine	Danse serpentine	0	1900	\N	2	Documentary,Short
Danses	Danses	0	1900	\N	\N	Short
Déclaration d'amour	Déclaration d'amour	0	1900	\N	\N	Short
Le départ d'Arlequin et de Pierrette	Le départ d'Arlequin et de Pierrette	0	1900	\N	2	Short
The Enchanted Drawing	The Enchanted Drawing	0	1900	\N	2	Animation,Comedy,Fantasy
Faust and Marguerite	Faust and Marguerite	0	1900	\N	1	Fantasy,Horror,Short
La fée aux choux, ou la naissance des enfants	La fée aux choux, ou la naissance des enfants	0	1900	\N	1	Short
Gavotte directoire	Gavotte directoire	0	1900	\N	\N	Short
Grandma's Reading Glass	Grandma's Reading Glass	0	1900	\N	2	Family,Short
L'Habanera	L'Habanera	0	1900	\N	\N	Short
Le duel d'Hamlet	Le duel d'Hamlet	0	1900	\N	2	Drama,Short
Happy Hooligan	Happy Hooligan	0	1900	\N	\N	Comedy,Short
The House That Jack Built	The House That Jack Built	0	1900	\N	1	Short
How It Feels to Be Run Over	How It Feels to Be Run Over	0	1900	\N	1	Comedy,Short
Chimmie Hicks and the Rum Omelet	Chimmie Hicks and the Rum Omelet	0	1900	\N	\N	Comedy,Short
Le lapin	Le lapin	0	1900	\N	\N	Short
Let Me Dream Again	Let Me Dream Again	0	1900	\N	1	Comedy,Short
Leçon de danse	Leçon de danse	0	1900	\N	\N	Short
Le marchand de coco	Le marchand de coco	0	1900	\N	\N	Short
Marché à la volaille	Marché à la volaille	0	1900	\N	\N	Short
Le matelot	Le matelot	0	1900	\N	\N	Short
Eine moderne Jungfrau von Orleans	Eine moderne Jungfrau von Orleans	0	1900	\N	\N	Short
Maple Leaf Viewing	Momijigari	0	1899	\N	6	Short
Mort d'Adonis	Mort d'Adonis	0	1900	\N	\N	Short
The Mystic Swing	The Mystic Swing	0	1900	\N	1	Fantasy,Short
Panorama de Barcelona: monumentos y fiestas	Panorama de Barcelona: monumentos y fiestas	0	1900	\N	6	Documentary,Short
Pas Japonais	Pas Japonais	0	1900	\N	\N	Short
Pas de grâce	Pas de grâce	0	1900	\N	\N	Short
Pas des éventails	Pas des éventails	0	1900	\N	\N	Short
Pas du poignard	Pas du poignard	0	1900	\N	\N	Short
La paysanne	La paysanne	0	1900	\N	\N	Short
La petite magicienne	La petite magicienne	0	1900	\N	\N	Short
Le Polichinelle	Le Polichinelle	0	1900	\N	\N	Short
La poupée noire	La poupée noire	0	1900	\N	\N	Short
La reine des jouets	La reine des jouets	0	1900	\N	\N	Short
Retour des champs	Retour des champs	0	1900	\N	2	Documentary,Short
Le sang d'Adonis donnant naissance à la rose rouge	Le sang d'Adonis donnant naissance à la rose rouge	0	1900	\N	\N	Short
Saut humidifié de M. Plick	Saut humidifié de M. Plick	0	1900	\N	\N	Comedy,Short
Soldiers of the Cross	Soldiers of the Cross	0	1900	\N	\N	Biography,Drama
La source	La source	0	1900	\N	\N	Short
Spanish Bullfight	Spanish Bullfight	0	1900	\N	1	Short,Sport
Suite de la danse	Suite de la danse	0	1900	\N	\N	Short
La tarentelle	La tarentelle	0	1900	\N	\N	Short
Uncle Josh in a Spooky Hotel	Uncle Josh in a Spooky Hotel	0	1900	\N	1	Comedy,Fantasy,Short
Uncle Josh's Nightmare	Uncle Josh's Nightmare	0	1900	\N	2	Comedy,Fantasy,Short
Une rage de dents	Une rage de dents	0	1900	\N	\N	Comedy,Short
Valse directoire	Valse directoire	0	1900	\N	\N	Short
Valse lente	Valse lente	0	1900	\N	\N	Short
L'écossaise	L'écossaise	0	1900	\N	\N	Short
Another Job for the Undertaker	Another Job for the Undertaker	0	1901	\N	2	Comedy,Short
Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1901	\N	2	Documentary,News,Short
Charmant froufrou	Charmant froufrou	0	1901	\N	\N	Short
